permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
DB-2016-01251,2017-05-18,15000,Demolition / Deconstruction,Value Construction Ltd,Dwelling Uses,2017, V5P 2C2
BP-2016-04168,2017-05-19,1400000,New Building,Sian Development And Contracting Ltd,"Dwelling Uses,Office Uses",2017, V5X 3T5
BP-2017-02341,2017-05-23,34800,Addition / Alteration,Brighter Mechanical Ltd,Dwelling Uses,2017, V6K 4G6
BP-2017-02349,2017-05-23,300000,Addition / Alteration,Fusion Project Management Ltd,Office Uses,2017, V6C 3E8
BP-2017-02606,2017-05-23,60000,Addition / Alteration,Central West Project Management Inc,Office Uses,2017, V6C 1S4
DB-2016-04640,2017-05-23,15000,Demolition / Deconstruction,TX CONTRACTING LTD,Dwelling Uses,2017, V6N 3J9
BP-2016-02472,2017-05-24,15000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Dwelling Uses,2017, V5N 1C7
BP-2017-02222,2017-05-24,15000,Addition / Alteration,BMS Plumbing & Mechanical Systems Ltd,Dwelling Uses,2017, V6B 1K2
BP-2017-02223,2017-05-24,15000,Addition / Alteration,BMS Plumbing & Mechanical Systems Ltd,Dwelling Uses,2017, V6B 1K3
DB-2016-02722,2017-05-24,1020327.5,New Building,Hang Zheng,Dwelling Uses,2017, V6N 2K8
BP-2017-01799,2017-05-25,15000,Addition / Alteration,Omicron Construction Ltd,Office Uses,2017, V7X 1K8
