permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
DB-2017-00131,2017-02-01,15000,Addition / Alteration,Mercury Contracting Ltd,"Office Uses,Retail Uses",2017, V6B 6N9
DB452250,2017-02-01,181178,New Building,0820163 BC Ltd,Dwelling Uses,2017, V5X 2G1
BP-2016-03697,2017-02-02,25000,Addition / Alteration,RenBui Construction Group Ltd,Dwelling Uses,2017, V6J 1P3
BP-2016-04117,2017-02-02,25750,Addition / Alteration,AG Electric and Alarm Monitoring Co Ltd,Dwelling Uses,2017, V6R 1W4
BP-2017-00154,2017-02-02,44000,Addition / Alteration,Anthony Minniti,Service Uses,2017, V6H 3G5
DB-2016-02047,2017-02-02,200000,Addition / Alteration,PD Moore Homes Inc,Dwelling Uses,2017, V6M 3C7
BP-2016-04090,2017-02-03,50000,Addition / Alteration,Willow Spring Construction BC Ltd,Service Uses,2017, V6J 1L7
DB-2016-00460,2017-02-03,1043345,New Building,VCL Construction Ltd,Dwelling Uses,2017, V5Y 2V1
DB-2016-00461,2017-02-03,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2017, V5Y 2V1
BP-2016-02033,2017-02-07,15000,Demolition / Deconstruction,SOURCE ONE EXCAVATING LTD,Dwelling Uses,2017, V5N 1M1
BP-2016-04348,2017-02-07,13000,Addition / Alteration,Advanco Electric Ltd,Service Uses,2017, V6B 3N9
BP-2016-04482,2017-02-07,25000,Addition / Alteration,Pro Active Home Repair Inc,Dwelling Uses,2017, V6M 2E6
BP-2017-00186,2017-02-07,100000,Addition / Alteration,Fifth Element Construction & Renovations Ltd,Dwelling Uses,2017, V6G 3E3
BU467465,2017-02-07,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2017, V6P 5N8
DB-2017-00016,2017-02-07,25000,Addition / Alteration,Advanco Electric Ltd,Service Uses,2017, V6B 3L5
DB-2016-03093,2017-02-08,3380000,Addition / Alteration,Nick Linden Construction West Ltd,Dwelling Uses,2017, V6P 5X1
BP-2016-04662,2017-02-09,162000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2017, V6C 2T6
BP-2017-00229,2017-02-09,400,Addition / Alteration,Joseph Fata,Dwelling Uses,2017, V6H 1R2
BP-2017-00247,2017-02-09,4200,Addition / Alteration,Landon Contracting Ltd,Office Uses,2017, V6E 4S3
BP-2017-00427,2017-02-09,75000,Addition / Alteration,MLK Properties Ltd,Transportation and Storage Uses,2017, V6A 3P8
DB-2016-01056,2017-02-09,210000,Addition / Alteration,PWS Contracting Ltd,Dwelling Uses,2017, V5K 1G8
DB-2016-03929,2017-02-09,40000,Addition / Alteration,KE Concepts 2001 Ltd,Dwelling Uses,2017, V6N 2Y4
DB452960,2017-02-09,984000,New Building,Best Builders Ltd,Dwelling Uses,2017, V6K 2Z3
BP-2017-00102,2017-02-10,12000,Addition / Alteration,New Image Projects Inc.,Office Uses,2017, V5M 0A6
BP-2017-00483,2017-02-14,6000,Addition / Alteration,Counterpoint Interiors Inc,Service Uses,2017, V5Z 4C2
DB452869,2017-02-14,1047655,New Building,Knaps Construction Ltd,Dwelling Uses,2017, V5M 3Y9
BP-2016-01920,2017-02-16,82630,Addition / Alteration,Wespac Electrical Contractor Ltd,Dwelling Uses,2017, V6G 1R5
DB-2017-00323,2017-02-16,105000,Addition / Alteration,T Q Construction Ltd,Dwelling Uses,2017, V5W 2P8
DB-2017-00338,2017-02-16,150300,Addition / Alteration,Matthew Durocher,Dwelling Uses,2017, V6L 3C1
BP-2016-04062,2017-02-17,50000,Addition / Alteration,V M S Management Inc,Dwelling Uses,2017, V6G 3H3
BP-2017-00330,2017-02-17,155000,Addition / Alteration,Klondike Contracting Corporation,Dwelling Uses,2017, V6K 4T1
BP-2017-00487,2017-02-17,5000,Addition / Alteration,Fina Electrical Systems Ltd,Dwelling Uses,2017, V5Z 1M8
DB452756,2017-02-17,705250,New Building,Cornat Construction Ltd,Dwelling Uses,2017, V5M 1V7
BP-2016-00226,2017-02-20,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2017, V5K 4C5
BP-2017-00361,2017-02-20,32360,Addition / Alteration,Aura Office Environments Inc,Office Uses,2017, V6E 2K3
BP-2017-00615,2017-02-20,3817,Addition / Alteration,Voltech Electric,Dwelling Uses,2017, V6H 1B2
BP-2016-04448,2017-02-21,45000,Addition / Alteration,Hodgson King & Marble Ltd,Institutional Uses,2017, V5X 4C5
DB-2016-00222,2017-02-21,1079218,New Building,Paradise Properties Ltd,Dwelling Uses,2017, V5S 2S2
DB-2016-00465,2017-02-21,650000,New Building,1070882 BC Ltd,Dwelling Uses,2017, V6R 2J8
BP-2016-02492,2017-02-22,425000,Addition / Alteration,Axiom Builders Inc,Office Uses,2017, V6C 1C8
BP-2016-03420,2017-02-22,450000,Addition / Alteration,Vertu Construction Ltd,Dwelling Uses,2017, V6R 1B8
BP-2016-04313,2017-02-22,150000,Addition / Alteration,Houston Landscapes Ltd,Institutional Uses,2017, V6J 2J4
BP-2017-00293,2017-02-22,30000,Addition / Alteration,Jaime A Perez,Dwelling Uses,2017, V5L 4L1
DB-2016-01131,2017-02-22,976750,New Building,Metro Van Construction Ltd,Dwelling Uses,2017, V6P 1Z7
DB-2016-01641,2017-02-22,844000,New Building,Avali Holdings Ltd,Dwelling Uses,2017, V5K 2T9
DB-2016-01645,2017-02-22,192500,New Building,Avali Holdings Ltd,Dwelling Uses,2017, V5K 2T9
BP-2017-00210,2017-02-23,58000,Addition / Alteration,Quantum Construction Ltd,Dwelling Uses,2017, V5K 4E7
BP-2017-00286,2017-02-23,20000000,New Building,Icon West Construction Corp,"Office Uses,Parking Uses,Retail Uses",2017, V6Z 1N2
DB-2016-01604,2017-02-23,225210,New Building,VCL Construction Ltd,Dwelling Uses,2017, V5X 2M8
DB452639,2017-02-23,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2017, V5R 1L2
BP-2016-04364,2017-02-24,32695,Addition / Alteration,goldeneye homes inc,Dwelling Uses,2017, V5Z 1S1
BP-2017-00633,2017-02-24,40000,Addition / Alteration,0942215 BC Ltd,Dwelling Uses,2017, V5W 3K9
BP-2017-00845,2017-02-24,12000,Addition / Alteration,Counterpoint Interiors Inc,Office Uses,2017, V6C 2W2
BP-2016-02692,2017-02-27,30000,Addition / Alteration,Luke Genaro Barry Kerton,Retail Uses,2017, V6B 1M1
BP-2016-04430,2017-02-27,60000,Addition / Alteration,King Rupert Flooring Limited,Dwelling Uses,2017, V6Z 3H3
BP-2017-00397,2017-02-27,50000,Addition / Alteration,First Class Electric Ltd,Dwelling Uses,2017, V6H 1A4
BP-2017-00536,2017-02-27,45000,Addition / Alteration,Cambridge Plumbing Systems Ltd,Dwelling Uses,2017, V6G 1L3
DB452602,2017-02-27,193750,New Building,SGP Holdings Ltd,Dwelling Uses,2017, V5N 2V1
BP-2017-00545,2017-02-28,45000,Addition / Alteration,Lonetree Enterprises Ltd,Dwelling Uses,2017, V5Z 3N2
BP-2017-00705,2017-02-28,2000,Addition / Alteration,Marcel Electric Inc,Dwelling Uses,2017, V5Z 1C4
BP-2017-00364,2017-03-01,150000,Addition / Alteration,On Side Restoration Services Ltd,Dwelling Uses,2017, V5L 4M5
BP-2017-01017,2017-03-01,17000,Addition / Alteration,Carlo Gallo,Office Uses,2017, V6C 3A6
BP-2017-00634,2017-03-02,80000,Addition / Alteration,VPAC Construction Group Ltd,Office Uses,2017, V6E 4M1
BP-2016-00925,2017-03-03,755000,New Building,Vanterra Development Group Inc,Dwelling Uses,2017, V5T 2G3
BP-2017-00085,2017-03-03,125000,Demolition / Deconstruction,Jeff Colton Construction Ltd,Retail Uses,2017, V6N 1W5
BP-2017-00196,2017-03-03,160000,Addition / Alteration,F & M Installations Ltd,Retail Uses,2017, V5K 2A7
BP-2017-00804,2017-03-03,240000,Addition / Alteration,CURAFLO OF BC LTD,Dwelling Uses,2017, V6G 1X3
BP-2017-01101,2017-03-03,15000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2017, V6C 2V6
DB-2016-00844,2017-03-03,704875,New Building,TP Homes Ltd,Dwelling Uses,2017, V6S 1H5
DB-2016-01086,2017-03-03,819745,New Building,Kore Residential Custom Construction & Design Inc,Dwelling Uses,2017, V6R 2H3
DB453036,2017-03-03,188953,New Building,Harvey Contracting Ltd,Dwelling Uses,2017, V5M 2B2
BP-2016-04103,2017-03-06,12000,Addition / Alteration,Fina Electrical Systems Ltd,Office Uses,2017, V6K 2E1
BP-2017-00656,2017-03-06,400000,Addition / Alteration,Fusion Project Management Ltd,Office Uses,2017, V6E 3C9
BP-2017-00648,2017-03-07,800000,Addition / Alteration,IDR Commercial Construction Management Ltd,Utility and Communication Uses,2017, V5T 1Z7
BP-2017-00803,2017-03-07,75000,Addition / Alteration,Future Living Developments Ltd,Dwelling Uses,2017, V6G 1E8
BP-2017-01165,2017-03-07,19800,Addition / Alteration,The Artek Group Limited,Office Uses,2017, V6E 3C9
BP-2016-03843,2017-03-08,150000,Addition / Alteration,Bynett Construction Services Ltd,Transportation and Storage Uses,2017, V5X 3Y7
BP-2016-04413,2017-03-08,200000,Addition / Alteration,Cirjak Construction Ltd,Retail Uses,2017, V7Y 1K8
BP-2017-00172,2017-03-08,150000,Demolition / Deconstruction,Horizon North Camp & Catering Inc,Office Uses,2017, V5Z 2N5
BP-2017-00197,2017-03-08,160000,Addition / Alteration,F & M Installations Ltd,Retail Uses,2017, V5X 2T4
BP-2017-01046,2017-03-08,85000,Addition / Alteration,All Spaces Project Management Ltd,Office Uses,2017, V6E 4G1
DB-2016-00841,2017-03-08,158250,New Building,0820163 BC Ltd,Dwelling Uses,2017, V5W 2M1
DB-2017-00341,2017-03-08,46500,Addition / Alteration,Higgs Construction Ltd,Dwelling Uses,2017, V5V 4V1
BP-2017-01006,2017-03-09,98000,Addition / Alteration,TotalPlan Inc,Office Uses,2017, V6E 3S7
BP-2017-00943,2017-03-10,47000,Addition / Alteration,Dion Custom Metal Fabrication & Design Ltd,Service Uses,2017, V6C 1P7
DB-2016-03070,2017-03-10,40000,Demolition / Deconstruction,Kare Environmental Ltd,Dwelling Uses,2017, V1V 1V1
BP-2017-00872,2017-03-13,13000,Addition / Alteration,RenBui Construction Group Ltd,Office Uses,2017, V6C 3A8
DB-2016-03071,2017-03-13,40000,Demolition / Deconstruction,Kare Environmental Ltd,Dwelling Uses,2017, V1V 1V1
DB-2017-00957,2017-03-13,5000,Addition / Alteration,NYTA Contracting Ltd.,Service Uses,2017, V6Z 1Z5
BP-2017-00704,2017-03-14,5000,Addition / Alteration,Gibraltar Holdings,Office Uses,2017, V6Z 2M4
BP-2017-00923,2017-03-14,100000,Addition / Alteration,Davidson Walker Constructions Ltd,Dwelling Uses,2017, V6R 2A2
DB-2016-02365,2017-03-14,200000,Addition / Alteration,Quantum Construction Ltd,Dwelling Uses,2017, V6K 1M4
DB-2016-00325,2017-03-15,774000,New Building,3 Line Construction Ltd,Dwelling Uses,2017, V5X 4E3
DB-2016-01962,2017-03-15,720750,New Building,KE Concepts 2001 Ltd,Dwelling Uses,2017, V5M 1V3
DB-2017-00529,2017-03-15,550000,Addition / Alteration,Precision Restorations Inc,Dwelling Uses,2017, V6A 2G5
BP-2016-03390,2017-03-16,15000,Demolition / Deconstruction,A & D Demolition Corp,Dwelling Uses,2017, V5K 2V7
DB-2016-01034,2017-03-16,602500,New Building,Killarny Enterprises Ltd,Dwelling Uses,2017, V6P 2W2
DB-2016-01035,2017-03-16,15000,Demolition / Deconstruction,Killarny Enterprises Ltd,Dwelling Uses,2017, V6P 2W2
BP-2017-00347,2017-03-17,56000,Addition / Alteration,Rick Lionel Sahar,Dwelling Uses,2017, V6A 4B3
BP-2017-00968,2017-03-17,60000,Addition / Alteration,Tristan Merlin Magella Charpentier,Dwelling Uses,2017, V6H 1G9
DB-2016-01280,2017-03-17,767500,New Building,Tyko Development Ltd,Dwelling Uses,2017, V5N 1S9
BP-2016-02789,2017-03-20,1378000,New Building,Bold Construction Ltd,Dwelling Uses,2017, V6N 2G9
BP-2016-04238,2017-03-20,20000,Demolition / Deconstruction,Fleck Contracting Ltd,Dwelling Uses,2017, V5R 3R1
DB-2017-00773,2017-03-20,3139372,Addition / Alteration,JT BRAUN CONSTRUCTION LTD,Dwelling Uses,2017, V6A 1V3
DB452580,2017-03-20,931250,New Building,Harvey Contracting Ltd,Dwelling Uses,2017, V5S 3J5
DB452683,2017-03-20,225000,New Building,Harvey Contracting Ltd,Dwelling Uses,2017, V5S 3J5
BP-2016-01661,2017-03-21,15000,Demolition / Deconstruction,TX CONTRACTING LTD,Dwelling Uses,2017, V6R 2T1
BP-2016-00865,2017-03-22,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2017, V6L 1W7
BU468227,2017-03-22,1139000,New Building,P B G Construction Ltd,Dwelling Uses,2017, V6L 1Y4
BP-2017-00892,2017-03-23,30000,Addition / Alteration,Bismark Construction,Retail Uses,2017, V5Z 4R2
BP-2017-01089,2017-03-23,750000,Addition / Alteration,Polis Development Co Ltd,Dwelling Uses,2017, V6N 4E2
BP-2017-00260,2017-03-24,85000,Addition / Alteration,Maison D'Etre Design-Build Inc,Dwelling Uses,2017, V6K 4T6
BP-2017-00671,2017-03-24,1284885,Addition / Alteration,Ledcor Industries Inc,Office Uses,2017, V6C 2X8
BP-2017-00768,2017-03-27,1100000,Addition / Alteration,Ledcor Construction Limited,Office Uses,2017, V6Z 2L2
DB452305,2017-03-27,147880,New Building,G2 Construction Ltd,Dwelling Uses,2017, V5K 5C8
BP-2016-01667,2017-03-28,15000,Demolition / Deconstruction,Gr8 Demolition & Excavation Ltd,Dwelling Uses,2017, V5V 4X7
BP-2016-01922,2017-03-28,1500000,New Building,Summit Brooke Development Corporation,Dwelling Uses,2017, V6K 1E5
BP-2016-02452,2017-03-28,15000,Demolition / Deconstruction,Kingsmen Excavating Ltd,Dwelling Uses,2017, V5T 2G3
BP-2017-01155,2017-03-28,150000,Addition / Alteration,Maarten Joris Hooft,Dwelling Uses,2017, V6R 1L7
BP-2017-01228,2017-03-29,225000,Addition / Alteration,Velgor Construction Inc,Office Uses,2017, V6B 3J5
BP-2017-01045,2017-03-30,80000,Addition / Alteration,All Spaces Project Management Ltd,Office Uses,2017, V6C 3A8
BP-2017-01223,2017-03-30,15000,Addition / Alteration,Central West Project Management Inc,Office Uses,2017, V6B 1G1
BU468564,2017-03-30,15000,Demolition / Deconstruction,Fortin's Excavating Ltd,Dwelling Uses,2017, V6R 2C3
DB-2016-01071,2017-03-30,703207,New Building,0952548 B.C. Ltd,Dwelling Uses,2017, V6M 1H6
DB-2016-03072,2017-03-30,40000,Demolition / Deconstruction,Kare Environmental Ltd,Dwelling Uses,2017, V1V 1V1
BP-2017-00914,2017-03-31,5000,Addition / Alteration,Ocean West Construction Ltd,Dwelling Uses,2017, V6M 4H2
DB-2016-02136,2017-03-31,584500,New Building,88 Homes Ltd,Dwelling Uses,2017, V5K 1Y7
DB-2017-01255,2017-03-31,2850,Addition / Alteration,Era Enterprise Ltd,Dwelling Uses,2017, V5X 3C2
BP-2017-01298,2017-04-03,23000,Addition / Alteration,Rodrick L Willett,Dwelling Uses,2017, V5X 1L1
BP-2017-01322,2017-04-03,25000,Addition / Alteration,David Yan,Retail Uses,2017, V6E 1B2
DB-2016-03073,2017-04-03,40000,Demolition / Deconstruction,Kare Environmental Ltd,Dwelling Uses,2017, V1V 1V1
BP-2017-01055,2017-04-04,1500000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2017, V5M 4T5
BP-2017-01057,2017-04-04,800000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2017, V5M 4T5
BP-2017-01274,2017-04-04,120000,Addition / Alteration,Counterpoint Interiors Inc,Office Uses,2017, V6B 5L1
BP-2017-01418,2017-04-04,68975,Addition / Alteration,Sasco Contractors,Office Uses,2017, V6E 2K3
DB452758,2017-04-04,178000,New Building,Cornat Construction Ltd,Dwelling Uses,2017, V5M 1V7
DB452868,2017-04-04,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2017, V5P 2H4
BP-2017-01406,2017-04-05,2000,Addition / Alteration,Matthew Y K McMillan,Dwelling Uses,2017, V5R 5K1
BP-2017-01465,2017-04-05,25000,Addition / Alteration,RAIDER CONSTRUCTION,Office Uses,2017, V6K 2E1
DB-2016-01328,2017-04-05,214500,New Building,Punia Homes Ltd,Dwelling Uses,2017, V5X 2P5
BP-2016-02088,2017-04-06,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2017, V5T 2S8
BP-2017-01169,2017-04-06,1400000,Addition / Alteration,Canadian Turner Construction Company Ltd,Office Uses,2017, V6E 3C9
BP-2017-01410,2017-04-06,45000,Addition / Alteration,Handy Randy Services Ltd,Dwelling Uses,2017, V6L 3B7
DB-2016-00169,2017-04-06,204000,New Building,Sky & Star Enterprise Inc,Dwelling Uses,2017, V6R 2R4
DB-2016-00659,2017-04-06,1112250,New Building,Johan Construction Management Ltd,Dwelling Uses,2017, V6P 1C3
DB-2016-00663,2017-04-06,224700,New Building,Johan Construction Management Ltd,Dwelling Uses,2017, V6P 3M6
DB-2016-00992,2017-04-06,15000,Demolition / Deconstruction,Van-City Excavating Ltd,Dwelling Uses,2017, V5X 3T1
DB-2016-03297,2017-04-06,15000,Demolition / Deconstruction,Kingsmen Excavating Ltd,Dwelling Uses,2017, V5T 2S4
DB-2017-01261,2017-04-06,32881,Addition / Alteration,Ashton Service Group,Dwelling Uses,2017, V6Z 2Z3
BP-2016-02074,2017-04-07,15000,Demolition / Deconstruction,M B D Trucking Excavating Ltd.,Dwelling Uses,2017, V6N 2M1
BP-2016-02094,2017-04-07,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2017, V5N 3Y3
DB-2016-03171,2017-04-07,15000,Demolition / Deconstruction,Khela Excavating Ltd.,Dwelling Uses,2017, V5M 1H3
BP-2017-00995,2017-04-10,107000,Addition / Alteration,BC Coastal Projects Ltd.,Retail Uses,2017, V6E 3P3
BP-2017-01284,2017-04-10,14850,Addition / Alteration,CDC Construction Ltd,Office Uses,2017, V6J 5K8
BP-2017-01404,2017-04-10,25000,Addition / Alteration,G W Property Services Ltd,Manufacturing Uses,2017, V5Y 1K6
BP-2017-01450,2017-04-10,17000,Addition / Alteration,Nofziger Construction Inc,Dwelling Uses,2017, V6H 1N1
BP-2016-00130,2017-04-11,1603625,New Building,Royal Golden Construction Group Limited,Dwelling Uses,2017, V6N 3J9
BP-2017-00967,2017-04-11,50000,Addition / Alteration,Gordon Scott Konkin,Dwelling Uses,2017, V5T 2A1
DB-2016-00137,2017-04-11,15000,Demolition / Deconstruction,Gr8 Demolition & Excavation Ltd,Dwelling Uses,2017, V5P 2W1
BP-2016-03704,2017-04-13,31500000,New Building,Haebler Construction Projects Inc,Institutional Uses,2017, V1V 1V1
BP-2017-01108,2017-04-13,100000,Addition / Alteration,Kitsilano Construction & Design Ltd,Dwelling Uses,2017, V5K 5A7
BP-2017-01539,2017-04-13,70000,Addition / Alteration,Jose Estevez Fajardo,Dwelling Uses,2017, V6E 4R1
DB452306,2017-04-13,1001075,New Building,D McLean Construction Ltd,Dwelling Uses,2017, V6R 1M9
DB452307,2017-04-13,15000,Demolition / Deconstruction,FRONTIER EXCAVATING (2005) LTD,Dwelling Uses,2017, V6R 1M9
DB452451,2017-04-13,181553,New Building,Biring Bros Construction Ltd,Dwelling Uses,2017, V5R 3P3
BP-2016-02296,2017-04-18,547500,New Building,Lepp Construction Inc,Dwelling Uses,2017, V5V 3Z7
BP-2017-01671,2017-04-18,50000,Addition / Alteration,VPAC Construction Group Ltd,Office Uses,2017, V6E 3V6
DB-2016-02297,2017-04-18,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2017, V5V 3Z7
DB-2017-01457,2017-04-18,10000,Addition / Alteration,Stanhope Projects Ltd,Dwelling Uses,2017, V6N 2L5
BP-2017-01476,2017-04-20,47000,Addition / Alteration,Cambridge Plumbing Systems Ltd,Dwelling Uses,2017, V6Z 3E1
BP-2017-01714,2017-04-21,5000,Addition / Alteration,Showcase Interiors Ltd,Dwelling Uses,2017, V6B 0C2
BP-2017-01854,2017-04-21,150000,Addition / Alteration,Conspro Development Inc,Service Uses,2017, V6C 2C2
DB-2017-01264,2017-04-21,23023,Addition / Alteration,Ashton Service Group,Dwelling Uses,2017, V6Z 2Y2
BP-2017-01540,2017-04-24,20000,Addition / Alteration,Allied Projects & Design Inc,Dwelling Uses,2017, V6E 1R7
DB-2017-00290,2017-04-24,15000,Addition / Alteration,Allen Lloyd Hemmelgarn,Dwelling Uses,2017, V6K 1V1
DB-2017-01698,2017-04-24,51500,Addition / Alteration,0932718 BC Ltd,Service Uses,2017, V6Z 2X7
DB-2016-01660,2017-04-25,1185000,New Building,HHDL Real Estate Investments Ltd,Dwelling Uses,2017, V6R 2T1
DB-2017-00926,2017-04-25,32881,Addition / Alteration,Ashton Service Group,Dwelling Uses,2017, V6Z 2Z3
DB451843,2017-04-25,1794400,New Building,Comfort Development Ltd,Dwelling Uses,2017, V6P 5N8
BP-2017-00702,2017-04-26,5000,Addition / Alteration,Vandwell Developments Inc,Dwelling Uses,2017, V6E 1K5
BP-2017-01706,2017-04-26,300000,Addition / Alteration,BMS Plumbing & Mechanical Systems Ltd,Dwelling Uses,2017, V6Z 2P5
BP-2016-00114,2017-04-27,15000,Demolition / Deconstruction,Jewel Mini Excavating Ltd,Dwelling Uses,2017, V5W 1E2
BP-2016-02566,2017-04-27,15000,Demolition / Deconstruction,Gr8 Demolition & Excavation Ltd,Dwelling Uses,2017, V6P 2R1
DB-2016-02577,2017-04-27,15000,Demolition / Deconstruction,JB Site Services Inc,Dwelling Uses,2017, V6P 2W5
DB-2017-01002,2017-04-27,102500,Addition / Alteration,Nu Tech Systems Ltd,Dwelling Uses,2017, V6G 1E8
DB-2017-01924,2017-04-27,122000,Addition / Alteration,VGC Vancouver General Contractors Inc,Dwelling Uses,2017, V5V 1Z4
DB-2016-02735,2017-04-28,15000,Demolition / Deconstruction,JVT Excavating & Demolition Ltd,Dwelling Uses,2017, V5N 3N3
BP-2016-02378,2017-05-01,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2017, V6M 2T9
BP-2017-01053,2017-05-01,330000,Addition / Alteration,Syncor Solutions Limited,Office Uses,2017, V6C 3L2
DB-2016-01678,2017-05-01,15000,Demolition / Deconstruction,WEST DEMOLITION SERVICE LTD,Dwelling Uses,2017, V5X 2G1
DB-2016-03754,2017-05-01,15000,Demolition / Deconstruction,K P Excavating & Demolition Ltd,Dwelling Uses,2017, V5M 4B8
DB-2017-01117,2017-05-01,15000,New Building,Etheridge Home Renovation Ltd,Dwelling Uses,2017, V5L 3B6
BP-2016-00681,2017-05-03,15000,Demolition / Deconstruction,B King Construction Ltd,Dwelling Uses,2017, V6R 3A7
BP-2017-01349,2017-05-03,70000,Addition / Alteration,Fina Electrical Systems Ltd,Dwelling Uses,2017, V5N 5P1
BP-2017-01898,2017-05-03,15000,Addition / Alteration,Lotos Construction Ltd,Dwelling Uses,2017, V6E 3W2
DB-2016-00633,2017-05-03,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2017, V5P 2H8
DB-2016-02672,2017-05-03,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2017, V5N 2L5
DB-2016-04000,2017-05-03,195500,New Building,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2017, V5K 3G7
DB-2017-01335,2017-05-03,158000,Addition / Alteration,Weimin Ni DBA: Rhine River Luxury Homes Ltd.,Dwelling Uses,2017, V6L 1K7
DB-2017-02034,2017-05-03,20000,Addition / Alteration,Colin Boyd,Dwelling Uses,2017, V5V 1Y5
BP-2017-01730,2017-05-04,61345,Addition / Alteration,TotalPlan Inc,Office Uses,2017, V6Z 1S4
BP-2017-02012,2017-05-04,25000,Addition / Alteration,JT Sproule Construction Ltd,Dwelling Uses,2017, V6M 3Z8
DB-2016-02707,2017-05-05,15000,Demolition / Deconstruction,G & K Excavation and Demolition Services Ltd,Dwelling Uses,2017, V6S 1V5
DB-2016-02825,2017-05-08,633875,New Building,Erik Olofsson Construction Inc,Dwelling Uses,2017, V5V 4A2
DB-2016-03306,2017-05-08,709000,New Building,HSB Construction Ltd,Dwelling Uses,2017, V5W 2H8
DB-2017-02060,2017-05-08,30000,Addition / Alteration,Wilder At Builder Dot Ca Ltd,Dwelling Uses,2017, V6S 1R7
BP-2017-01987,2017-05-09,7600,Addition / Alteration,0764153 BC Ltd,Retail Uses,2017, V5V 4C2
BP-2016-01063,2017-05-10,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2017, V5Z 3E5
BP-2017-01662,2017-05-10,45000,Addition / Alteration,Novell Construction Ltd,Dwelling Uses,2017, V6H 1S5
DB-2016-03272,2017-05-10,15000,Demolition / Deconstruction,Octiscapes Landscaping Ltd,Dwelling Uses,2017, V6K 3A4
BP-2016-02518,2017-05-11,58000000,New Building,Centreville Construction Ltd,Dwelling Uses,2017, V1V 1V1
BP-2017-02474,2017-05-11,2050,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2017, V6E 2Y1
BP-2016-04252,2017-05-12,15000,Demolition / Deconstruction,Mistral Homes Inc,Dwelling Uses,2017, V5W 3J8
BP-2017-00037,2017-05-12,3000,Addition / Alteration,Jonathon Paul Kerridge,Dwelling Uses,2017, V6K 1K3
BP-2017-02110,2017-05-12,75000,Addition / Alteration,1070882 BC Ltd,Dwelling Uses,2017, V5V 4A4
BP-2017-00955,2017-05-15,130000,Addition / Alteration,Ranlak Management Inc,Dwelling Uses,2017, V5V 3W9
BP-2017-01818,2017-05-15,55000,Addition / Alteration,Jonathon Paul Kerridge,Service Uses,2017, V5L 4C7
DB-2016-03095,2017-05-15,430000,New Building,Asanti Development Ltd,Dwelling Uses,2017, V5V 4K4
DB-2016-03096,2017-05-15,15000,Demolition / Deconstruction,Kingsmen Excavating Ltd,Dwelling Uses,2017, V5V 4K4
DB-2016-03344,2017-05-15,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2017, V6N 2H7
DB452884,2017-05-15,1203775,New Building,MP Construction Ltd,Dwelling Uses,2017, V6R 2C3
BP-2016-03526,2017-05-16,6482207,New Building,610148 BC Ltd,Dwelling Uses,2017, V1V 1V1
BP-2017-01563,2017-05-16,1000000,Addition / Alteration,Klondike Contracting Corporation,"Cultural/Recreational Uses,Institutional Uses",2017, V6J 4R9
BP-2017-02151,2017-05-16,100000,Addition / Alteration,Lovelle Development Ltd,Dwelling Uses,2017, V6H 1C1
BP-2017-02249,2017-05-16,5000,Addition / Alteration,BC Coastal Projects Ltd.,Office Uses,2017, V6E 4A4
DB-2016-02527,2017-05-16,222500,New Building,Unique-Style Homes Ltd,Dwelling Uses,2017, V5R 5R8
DB-2017-01688,2017-05-16,100000,Addition / Alteration,PKM Contracting Ltd,Office Uses,2017, V5Z 0E9
DB-2017-02534,2017-05-16,75000,Addition / Alteration,Troico Home Solutions Inc,Dwelling Uses,2017, V6M 1H9
BP-2016-02759,2017-05-17,900000,New Building,New City Contracting Ltd,Dwelling Uses,2017, V6A 2C5
BP-2017-00571,2017-05-17,80000,Addition / Alteration,Van Drunen Construction Group Ltd,Dwelling Uses,2017, V6K 1M8
BP-2017-00820,2017-05-17,15000,Demolition / Deconstruction,TX CONTRACTING LTD,Dwelling Uses,2017, V6R 2K9
